Harapan_Lama_Sekolah;Pengeluaran_Perkapita;Rerata_Lama_Sekolah;Usia_Harapan_Hidup;IPM
1436;9572;937;6996;High
139;7148;948;6528;Normal
1432;8776;868;6743;Normal
146;8180;888;644;Normal
1401;8030;967;6822;Normal
1304;8577;821;6874;Normal
1428;10780;986;6886;High
1461;9593;955;6799;High
1473;9644;1033;6979;High
1447;9860;9;6695;High
1484;8867;929;7126;High
1471;8201;864;6881;Normal
1365;8428;867;6506;Normal
1378;8856;84;6553;Normal
1376;8367;891;6963;Normal
1414;8292;869;6924;Normal
1399;9666;871;6719;Normal
1347;11118;10;6926;High
1497;10290;934;7018;High
178;16891;1283;7152;Very-High
1413;11378;1118;7056;High
1563;12067;1112;6943;High
1521;11390;1111;7164;High
1462;7385;803;6407;Normal
1327;10499;958;6923;High
1284;6995;564;6978;Normal
1361;9771;863;6265;Normal
1335;11304;929;6497;High
1307;10138;884;6724;Normal
137;11710;999;6876;High
1346;12224;1057;7029;High
1274;11212;925;6995;High
1261;11030;88;6837;High
1279;11376;961;7137;High
1311;10504;959;6919;High
1277;12412;10;7158;High
1336;12291;101;7177;High
1324;11142;866;6897;High
1227;7041;606;6886;Normal
1329;8016;971;6951;Normal
1387;8254;914;6596;Normal
1348;8504;944;7141;High
1261;11017;869;6882;High
1264;10539;807;6713;Normal
1304;10055;938;6722;High
1327;8921;902;6713;Normal
1301;11562;89;6881;High
1319;11840;841;6956;High
1304;6155;677;6955;Normal
1295;5924;669;6908;Normal
1328;11540;1041;6925;High
1262;11225;945;6344;Normal
1457;12436;1129;7377;High
1273;12939;1044;7095;High
1475;14999;1148;7323;Very-High
1363;11063;1094;7245;High
1456;10965;1109;695;High
1375;8134;862;7132;Normal
1409;10790;907;6959;High
1289;6321;72;6473;Normal
1333;9270;827;7096;High
1305;10215;787;6879;Normal
1238;10389;812;6636;Normal
1434;10616;862;7012;High
1368;11050;788;6897;High
1388;9662;897;7253;High
133;9668;807;6984;Normal
1281;8440;81;6759;Normal
1272;10367;832;6801;Normal
1244;11324;855;7153;High
1368;9089;827;6794;Normal
1653;14540;1159;7369;Very-High
1433;12168;1104;7373;High
1318;10195;1032;701;High
1507;10754;1163;7282;High
1498;13331;1134;745;Very-High
1427;13317;1081;7384;High
1455;12818;1067;7038;High
1328;10736;919;7167;High
1334;10309;875;686;High
1246;10260;839;7026;High
1193;9945;724;6798;Normal
1241;11672;87;7124;High
1281;11807;986;7113;High
1355;10858;927;7083;High
1285;9406;854;7018;Normal
1288;11415;97;7124;High
1276;9417;826;7039;Normal
1283;7780;784;6778;Normal
1555;14360;1192;7241;Very-High
1331;11818;1014;7098;High
1304;10588;86;7122;High
1388;10184;856;70;High
1204;10380;79;7129;Normal
1228;11792;804;6921;High
1293;10032;812;7064;High
1284;8825;858;7132;Normal
1217;9163;692;6634;Normal
1263;9699;8;6817;Normal
1264;10546;759;7002;Normal
1263;11670;828;6783;High
1537;12240;112;7271;High
148;10454;1033;7221;High
1254;10662;83;6998;High
1283;10040;871;6824;Normal
1168;10755;705;6867;Normal
1198;10995;78;6902;Normal
1235;9735;852;6616;Normal
1219;9550;753;6826;Normal
1229;10140;763;6884;Normal
1177;9860;744;6906;Normal
1176;8585;785;6707;Normal
1245;11531;756;6917;Normal
1231;10454;787;656;Normal
1207;9400;764;6513;Normal
1217;8210;705;6833;Normal
1158;9855;709;6576;Normal
1442;14704;1075;7101;High
1292;12752;997;7047;High
1305;8877;94;6685;Normal
1338;13267;99;6939;High
1367;10487;887;6942;High
1362;9916;927;6793;High
1393;10323;833;6875;High
1288;10410;809;6827;Normal
1306;8638;838;6673;Normal
1329;8256;8;679;Normal
1274;10405;83;6673;Normal
1258;11317;818;634;Normal
1312;9377;829;6808;Normal
1328;9471;748;6819;Normal
1603;14108;118;702;Very-High
1273;10038;808;7073;Normal
1226;9969;807;6765;Normal
1219;9266;734;6867;Normal
1252;9931;77;6942;Normal
1286;10026;777;7078;Normal
1293;11259;759;6987;High
1249;8737;834;693;Normal
1237;9173;771;6946;Normal
1195;10735;755;7001;Normal
1259;7934;771;6915;Normal
1284;10302;839;7027;High
1164;7980;708;6826;Normal
1206;8422;739;7003;Normal
12;8533;819;6366;Normal
147;12247;1095;7142;High
1475;11916;1097;7166;High
1217;12819;808;7073;High
1278;12424;825;7114;High
1186;13563;847;711;High
117;12269;744;7008;Normal
121;12945;72;7152;High
1138;11768;671;6835;Normal
1163;11760;847;721;High
1316;15716;1013;7341;High
1298;14122;1018;7012;High
1257;11879;818;7111;High
1326;14393;867;7046;High
1391;14711;892;6531;High
1259;11938;688;6239;Normal
1288;11950;734;6736;Normal
1317;18034;1115;7336;Very-High
1413;15439;1026;7218;High
1307;18520;1117;7301;Very-High
1263;12587;881;6899;High
1334;23888;1164;742;Very-High
1396;17733;1167;7454;Very-High
1326;17365;1139;7419;Very-High
1281;20801;1078;7369;Very-High
1264;18762;1081;7335;Very-High
1261;10934;861;7323;High
1249;10410;831;7136;High
1224;8850;71;7121;Normal
12;8052;719;7032;Normal
127;10307;907;7372;High
1203;7961;753;7159;Normal
1254;7829;748;6967;Normal
142;9259;79;7202;High
1223;9409;78;7378;Normal
1227;10368;71;7218;Normal
1223;9591;731;7046;Normal
1298;10262;852;7262;High
1226;9810;652;7184;Normal
1171;10854;711;7258;Normal
1212;11669;81;7118;High
121;11522;778;7233;High
131;11341;93;7381;High
1188;8546;82;7252;Normal
1208;9065;785;716;Normal
1342;11716;1053;7382;High
1358;10942;981;7258;High
1421;16996;1099;7446;Very-High
1313;11810;1012;7244;High
141;15903;1131;7519;Very-High
1393;15420;1146;7462;Very-High
1381;12019;1108;7421;High
1346;10213;952;7234;High
1324;10476;877;7119;High
1277;11034;775;7447;High
1263;10534;709;739;High
1303;11546;763;738;High
12;10032;725;7321;Normal
1163;9407;675;7428;Normal
1335;9028;755;7355;High
1351;10275;821;7487;High
1176;10760;682;7194;Normal
1255;9440;779;7388;High
1257;13031;785;7603;High
1339;12017;881;7686;High
1384;11428;935;7773;High
125;9429;734;7628;High
1369;11509;857;7755;High
1284;12679;766;7579;High
1244;10294;711;7484;High
1235;9669;699;7451;Normal
1212;10519;73;7461;High
1294;10506;748;7627;High
1324;11272;876;7668;High
1276;10536;779;7591;High
1332;10248;786;7546;High
1298;12070;803;7579;High
1232;9408;725;7564;Normal
1296;11608;746;7448;High
1213;9524;688;7474;Normal
1242;10409;717;7374;High
1196;8573;645;7353;Normal
1289;9700;699;7172;Normal
1205;10152;622;6954;Normal
1415;12349;1062;7693;High
1488;14911;109;7732;Very-High
1542;15843;1066;7755;Very-High
1553;15425;1078;7751;Very-High
1285;12598;918;7444;High
1307;13143;873;7454;High
1564;14111;964;7504;Very-High
1427;10069;902;7527;High
1538;15545;957;7389;Very-High
1298;9505;73;7419;High
1674;16060;1092;7492;Very-High
176;18801;1172;7476;Very-High
1336;11707;788;7138;High
1265;8887;761;7207;Normal
1374;9851;755;7285;High
1247;9743;756;7386;High
1332;10807;834;7416;High
1263;10757;75;7361;High
1344;11127;808;7265;High
1324;10163;743;7261;High
1188;9203;667;7021;Normal
1343;9410;649;6928;Normal
131;12217;742;7072;High
1329;10690;594;6689;Normal
1316;9996;662;6924;Normal
1236;10969;612;6736;Normal
1258;10297;741;7025;Normal
1494;14578;1072;7406;Very-High
1295;12844;864;7259;High
1357;11394;855;7249;High
1287;12172;778;716;High
1317;11658;782;715;High
1404;11833;836;7265;High
1283;11459;726;7241;High
1268;10221;738;7172;Normal
